Period,time_period,route,bin_label,n,Global_PICP,Global_MPIW,Mondrian_PICP,Mondrian_MPIW,PICP_improvement,MPIW_change
test_far,morning_peak,10,morning_peak_10,312,0.6410256410256411,1528.3115234375,0.6346153846153846,1523.5087890625,-0.0064102564102564985,-4.802734375
test_far,morning_peak,12,morning_peak_12,312,0.5961538461538461,1528.3115234375,0.6698717948717948,1930.0244140625,0.07371794871794868,401.712890625
test_far,morning_peak,46,morning_peak_46,432,0.6087962962962963,1528.3115234375,0.45601851851851855,1092.48876953125,-0.15277777777777773,-435.82275390625
test_far,midday,10,midday_10,559,0.5831842576028623,1528.3115234375,0.5813953488372093,1467.5234375,-0.0017889087656529634,-60.7880859375
test_far,midday,12,midday_12,527,0.5578747628083491,1528.3115234375,0.6603415559772297,2519.46728515625,0.10246679316888052,991.15576171875
test_far,midday,46,midday_46,789,0.4828897338403042,1528.3115234375,0.6768060836501901,2910.36083984375,0.19391634980988592,1382.04931640625
test_far,evening_peak,10,evening_peak_10,226,0.7345132743362832,1528.3115234375,0.5486725663716814,1109.640625,-0.18584070796460184,-418.6708984375
test_far,evening_peak,12,evening_peak_12,235,0.7148936170212766,1528.3115234375,0.5191489361702127,901.607421875,-0.1957446808510639,-626.7041015625
test_far,evening_peak,46,evening_peak_46,339,0.584070796460177,1528.3115234375,0.5899705014749262,1578.76171875,0.005899705014749235,50.4501953125
test_far,evening,10,evening_10,203,0.729064039408867,1528.3115234375,0.5763546798029556,1081.19091796875,-0.15270935960591137,-447.12060546875
test_far,evening,12,evening_12,147,0.54421768707483,1528.3115234375,0.3469387755102041,1018.049560546875,-0.1972789115646259,-510.261962890625
test_far,evening,46,evening_46,279,0.6666666666666666,1528.3115234375,0.5197132616487455,1118.86083984375,-0.1469534050179211,-409.45068359375
