trip_id,y_actual_route,y_pred_route,lower_route,upper_route,n_segments,date,direction,interval_width
12719,4091.0,3988.411,-3727.29501551636,11704.11696070679,34,2024-08-26,1,15431.41197622315
12721,3685.0,3448.0928,-5890.131423487425,12786.31711722827,39,2024-08-26,2,18676.448540715694
12723,3879.0,3474.1897,-6239.829971203333,13188.20939148379,40,2024-08-26,2,19428.039362687123
12728,4287.0,4706.4717,-3382.6914449484534,12795.634644106169,35,2024-08-26,1,16178.326089054623
12732,4229.0,4482.4224,-4301.235112740183,13266.079999519969,37,2024-08-26,1,17567.315112260152
12733,3686.0,3649.9668,-6064.05282772494,13363.986534962183,40,2024-08-26,2,19428.039362687123
12735,3428.0,3354.0247,-5375.243644483826,12083.292995937607,38,2024-08-26,2,17458.536640421433
12737,3321.0,3910.7769,-3804.9291440869165,11626.482832136233,34,2024-08-26,1,15431.41197622315
12739,3754.0,3401.8816,-5936.3426006129985,12740.105940102696,39,2024-08-26,2,18676.448540715694
12741,3129.0,4397.0884,-2858.931879142556,11653.108514884743,33,2024-08-26,1,14512.040394027299
12743,3036.0,2932.2175,-5907.353852952456,11771.788778031801,38,2024-08-26,2,17679.142630984257
12745,5459.0,3931.4614,-4576.044956486649,12438.967563908524,36,2024-08-26,1,17015.012520395172
12750,3085.0,4603.5034,-3776.925328821165,12983.931691736205,36,2024-08-26,1,16760.85702055737
12751,3501.0,3160.946,-6126.847800056254,12448.739691535746,39,2024-08-26,2,18575.587491592
12753,2637.0,4290.731,-3355.5757093406937,11937.038027761104,34,2024-08-26,1,15292.613737101798
12755,3199.0,3217.076,-5361.184767572764,11795.336760370616,37,2024-08-26,2,17156.52152794338
12757,5554.0,4870.0103,-3370.5025248797665,13110.523040321661,35,2024-08-26,1,16481.025565201428
12759,5689.0,4664.6523,-3575.8605342181454,12905.165030983282,35,2024-08-26,1,16481.025565201428
12763,3456.0,3274.3728,-5671.003204928565,12219.74857770078,38,2024-08-26,2,17890.751782629344
12765,3637.0,4619.3184,-3621.1943011554013,12859.831264046026,35,2024-08-26,1,16481.025565201428
12767,3864.0,3550.6792,-6163.340482124811,13264.698880562311,40,2024-08-26,2,19428.039362687123
12769,5164.0,4776.5454,-3581.226084729912,13134.316523572685,36,2024-08-26,1,16715.542608302596
12773,6063.0,4853.191,-3387.321763542486,13093.703801658941,35,2024-08-26,1,16481.025565201428
12775,5845.0,4439.041,-3370.418326014877,12248.500721568465,34,2024-08-26,1,15618.919047583342
12778,3107.0,3029.808,-5876.080762513871,11935.69675887465,38,2024-08-26,2,17811.77752138852
12781,3738.0,3581.271,-6132.748734185225,13295.290628501898,40,2024-08-26,2,19428.039362687123
12783,4921.0,4257.1743,-3094.138375904184,11608.48722233973,33,2024-08-26,1,14702.625598243914
12793,5886.0,5082.884,-3157.6288485797177,13323.39671662171,35,2024-08-26,1,16481.025565201428
12795,5481.0,4566.7695,-3608.4067121639923,12741.945698370047,35,2024-08-26,1,16350.35241053404
12797,3695.0,3561.9287,-6152.0910190434515,13275.948343643671,40,2024-08-26,2,19428.039362687123
12799,5434.0,5233.585,-2941.5914369717316,13408.760973562308,35,2024-08-26,1,16350.35241053404
12802,3694.0,3598.3438,-5739.880426897765,12936.56811381793,39,2024-08-26,2,18676.448540715694
12805,5466.0,5186.4253,-2902.737839296598,13275.588249758024,35,2024-08-26,1,16178.326089054623
12809,3664.0,3534.9316,-6179.087957987314,13248.951404699808,40,2024-08-26,2,19428.039362687123
12811,5670.0,5810.1006,-1932.2201040682796,13552.421005099774,34,2024-08-26,1,15484.641109168053
12815,5014.0,4931.9795,-2726.8982875877405,12590.857241445163,34,2024-08-26,1,15317.755529032904
12821,3678.0,4986.942,-3796.7158332602025,13770.59927899995,37,2024-08-26,1,17567.315112260152
12823,3049.0,3316.1382,-5949.555667644419,12581.83218741981,39,2024-08-26,2,18531.38785506423
12825,5867.0,5074.1196,-3433.386848729081,13581.625671666092,36,2024-08-26,1,17015.012520395172
12827,5026.0,4358.9277,-2539.10824987453,11256.964138241228,32,2024-08-26,1,13796.072388115757
12831,3722.0,3587.8848,-6126.135000595576,13301.904362091547,40,2024-08-26,2,19428.039362687123
12833,3894.0,3608.1838,-5157.356296453924,12373.723876867743,38,2024-08-26,2,17531.08017332167
12836,3656.0,3519.503,-5433.286076299813,12472.291813604501,38,2024-08-26,2,17905.577889904314
12837,4814.0,5194.838,-3588.819654060984,13978.495458199168,37,2024-08-26,1,17567.315112260152
12839,2825.0,2811.58,-4972.901723635298,10596.06175018559,35,2024-08-26,2,15568.963473820888
12842,3647.0,3615.0498,-3817.053542142043,11047.153212552199,33,2024-08-26,1,14864.206754694242
12843,4850.0,4039.3735,-3254.195538118894,11332.942473009642,33,2024-08-26,1,14587.138011128536
12845,3159.0,3166.908,-5780.532356229407,12114.34843823014,38,2024-08-26,2,17894.880794459546
12847,3423.0,3709.511,-3942.8108844229373,11361.832902855554,34,2024-08-26,1,15304.643787278492
12859,2862.0,2783.5344,-5392.617123460239,10959.686180924838,36,2024-08-26,2,16352.303304385077
12861,3523.0,3065.7532,-5554.106172373162,11685.612596323357,37,2024-08-26,2,17239.71876869652
12869,3578.0,3103.728,-5841.647878037619,12049.103904591726,38,2024-08-26,2,17890.751782629344
12871,3136.0,3032.2224,-4292.67570751705,10357.120520291708,33,2024-08-26,1,14649.796227808758
12874,2918.0,3006.4482,-5833.123185838198,11846.01944514606,38,2024-08-26,2,17679.142630984257
12875,3425.0,3336.7764,-4378.929695310671,11052.482280912478,34,2024-08-26,1,15431.41197622315
12877,3066.0,2829.312,-5221.572836090036,10880.196916986413,35,2024-08-26,2,16101.769753076449
12883,2777.0,3113.0732,-3199.3495631076075,9425.49616955292,30,2024-08-26,1,12624.845732660528
12888,3417.0,3769.07,-4438.467270662216,11976.60751419249,35,2024-08-26,1,16415.074784854707
12933,779.0,3298.4756,-4446.08193692096,11043.033185089906,33,2024-08-26,1,15489.115122010866
12951,1820.0,3697.3682,-4729.90225562718,12124.638515087629,36,2024-08-26,1,16854.540770714808
12957,2329.0,3916.0547,-4591.451469700761,12423.561050694412,36,2024-08-26,1,17015.012520395172
12963,2412.0,3242.3357,-5836.8013745973685,12321.473016185579,38,2024-08-26,2,18158.274390782946
12983,2810.0,2633.9077,-5873.598636906571,11141.413883488603,36,2024-08-27,1,17015.012520395176
12986,2948.0,2966.3865,-5541.119781773515,11473.892738621658,36,2024-08-27,1,17015.012520395172
12987,2807.0,2836.8755,-5403.637204674078,11077.38836052735,35,2024-08-27,1,16481.025565201428
