segment,direction,mean_width,std_width,median_width,mean_fraction,mean_actual,count,rank_overall
43,1,106.05934995415102,13.077646479581807,105.19191816674746,0.02101449933672352,100.20860927152317,302,24
44,1,104.86237658033053,13.377523412013616,103.79675296454894,0.021393660907904222,97.109375,128,27
45,1,100.14186457384427,9.811901200318728,101.88290152519846,0.02044459694097741,90.38461538461539,52,42
46,1,98.67552577681731,10.420630636407187,100.28965430126915,0.01908378039310719,81.86666666666666,30,54
47,1,99.9282945825454,5.3877878904770125,99.69923016076032,0.018057271383979424,63.666666666666664,15,44
48,1,99.63768555748374,2.9624466955379973,98.48028928741265,0.017304550066906198,88.6923076923077,13,45
49,1,100.39832220025589,4.8123211820751015,98.9246103734773,0.017131974390346794,111.66666666666667,12,39
50,1,98.69062195574682,2.422576261040346,98.26125156952506,0.016252493850339125,50.375,8,52
51,1,99.62527833308079,2.56251238892198,98.26125156952506,0.015977105071562487,74.42857142857143,7,46
52,1,99.94467540250791,3.0137805324849603,98.26125156952506,0.016025223895986228,55.714285714285715,7,43
53,1,100.16007625730735,2.507078125384222,99.05745532597112,0.01599634876840946,52.5,6,41
54,1,99.522045090827,2.1837584367486387,98.26125156952506,0.016326127895361694,60.333333333333336,3,47
55,1,98.26125156952506,0.0,98.26125156952506,0.016649293281962338,34.0,2,55
1,2,83.08441984494597,23.868051450186737,76.99105894417553,0.021771499017104234,33.457815035154134,3698,82
2,2,97.18308565802137,36.439213906214945,88.84239618111512,0.024994547465230284,190.84178966789668,4336,59
3,2,80.78459857898574,22.76721431301167,76.22281729446048,0.020936056621516416,56.19491118578973,4166,86
4,2,79.24651101369605,21.82195908963763,74.1615116804011,0.02043963254206537,51.14597156398104,4220,90
5,2,77.69763870061527,17.770585092311943,74.29817418299851,0.020129913362898415,69.21932245922208,3985,94
6,2,79.78046946967586,18.121981445832436,76.64423391315701,0.020752368398555692,92.53357058125741,4215,88
7,2,81.1259930690476,17.1158643161346,79.20517676013,0.021122273132328208,65.20580046403713,4310,85
8,2,82.23413626978187,17.022682660600225,81.44924711669304,0.021399852676205266,61.85320886814469,4285,84
9,2,83.70366113952619,18.68365080761442,83.46140182524724,0.02166811809679016,67.48469024448137,4213,80
10,2,84.69480907194016,20.243333063379136,82.76895185631003,0.021948287269489553,72.62812647475224,4238,78
11,2,87.82942770224666,21.989855827198063,85.76302540552062,0.02275196550441508,73.58682352941176,4250,75
12,2,92.98165273771653,25.064953041289638,90.6446041738591,0.023983573843479364,62.854137115839244,4230,66
13,2,101.03483255674638,29.74872250479148,96.7131429280329,0.026093215250245334,89.27036857419981,4124,38
14,2,110.00898150134692,32.83781443561298,104.67566232122809,0.028277529525664737,104.28632264529058,3992,19
15,2,127.04473161142,46.681345074989345,114.7352863910386,0.032683916193826684,121.0636192271442,4244,7
16,2,121.84439484335299,41.38135362727881,109.77841943524334,0.03129521062121135,100.16102110947472,4074,8
17,2,190.27091375025634,93.83760232285957,166.52314994419544,0.048160943809429084,250.2258357971344,4397,2
18,2,115.35880770993269,36.42396445967162,104.61975935572579,0.029708992295879935,86.6259667213499,4267,13
19,2,112.53626000542195,32.70859232929538,103.45752178769804,0.029179681818687683,84.20095351609058,4195,16
20,2,102.50818009221706,27.725061134767625,94.46580746832001,0.02649806449024744,54.78365505139133,3989,30
21,2,127.84234592404566,41.10127834599455,116.74625538011281,0.03346601151646349,162.75342465753425,4307,6
22,2,99.29767803843508,25.45093453815178,94.97629157637788,0.025824681544441012,49.8076832981963,4269,48
23,2,102.09976638383762,23.58433122063087,97.79557357582814,0.026710797195404565,73.65583218072845,4338,34
24,2,105.48239037281927,21.58577031760519,100.9812958061688,0.027700319267519143,63.38343919077864,4251,25
25,2,111.20214929813424,22.029476685292575,107.26166205910073,0.02921361820337567,115.37619961612285,4168,17
26,2,116.09473090169234,23.152310965676907,112.42824978885963,0.030624877091120592,137.49291914116034,4378,12
27,2,112.6983734119047,21.830181860205283,110.10979719951615,0.029611095725859914,92.59609644087256,4355,15
28,2,107.88203593884563,21.742175162028605,105.5658339298335,0.028190938079683762,70.06067146282973,4170,22
29,2,110.5076256634275,25.971055006833403,107.28250461507966,0.02881445037553631,136.36827835517397,4426,18
30,2,94.7000338724313,19.77231625477354,91.5547601135589,0.024743137185952457,70.53059071729957,3792,62
31,2,93.64046223791435,18.222246562479256,91.3614940877271,0.024612216679360595,65.61779126780294,4283,63
32,2,92.21858320859907,17.58905343034528,90.1537883855726,0.024288314327750575,75.08350444900753,4383,67
33,2,90.9959160475086,17.461133594591743,89.37505977407093,0.02404825396818413,104.68261851015801,4430,69
34,2,85.35905472646904,15.229763717957473,83.92971831559439,0.02256710108143055,45.2034965034965,4290,77
35,2,83.37705263732039,15.981886237717159,81.1557552979259,0.022081368519325843,63.104822277563954,4417,81
36,2,79.67333868002106,14.514902078250106,76.96436244508686,0.02103980825159668,57.59017527675277,4336,89
37,2,77.07485514027496,12.80887533621451,74.65320009323112,0.020316535963182922,51.95925297113752,4123,98
38,2,76.88350697762802,12.237010651969563,74.30461523119249,0.020266550846215047,51.613780173423955,4267,100
39,2,76.29693827830033,11.494145766876388,73.87902109695642,0.02004200175386684,54.732346517835474,4121,103
40,2,76.37229114555758,10.524510329816671,74.3808433283987,0.01990485955607562,67.60057803468209,3460,102
41,2,79.19620776636876,8.231451546680715,78.8402588830624,0.020123655548456184,56.954493742889646,2637,91
42,2,79.10183937544622,8.42498004446451,78.66254844690832,0.020013996237852785,69.98864081472777,2553,92
43,2,78.2867481252973,8.573901462721196,77.86510272638296,0.019995180036254938,38.226359627633514,2041,93
44,2,80.32605508564507,8.524491356517508,79.33660289052652,0.02133196479882421,54.78005115089514,1173,87
